Type,Name,Status,Score /5,Author,Completed Date,Publisher,Publishing/Release Date,Link,Summary,Comments,Order
TypeScript Pluralsight Playlist,Creating and Using TypeScript Decorators,Ready to Start,,David Tucker,,Pluralsight,"November 17, 2019",https://app.pluralsight.com/library/courses/creating-using-typescript-decorators/table-of-contents,This course will cover how to leverage all types of TypeScript decorators to implement cross-cutting concerns within your projects.,,8
TypeScript Pluralsight Playlist,Creating and Using Generics in TypeScript,Ready to Start,,Brice Wilson,,Pluralsight,"June 8, 2021",https://app.pluralsight.com/library/courses/typescript-generics-creating-using/table-of-contents,"TypeScript generics empower you to create reusable, type-safe code for your web applications. This course will teach you how to recognize and use built-in generics as well as how to create your own generic functions, interfaces, and classes.",,7
TypeScript Pluralsight Playlist,Using TypeScript Modules,Ready to Start,,Dan Wellman,,Pluralsight,"December 19, 2019",https://app.pluralsight.com/library/courses/typescript-modules/table-of-contents,"Build a solid foundation of fundamental TypeScript knowledge by learning in full how TypeScript's module system works. Excel at importing and exporting code, master ambient modules, and get to grips with TypeScript's module resolution process.",,6
TypeScript Pluralsight Playlist,"Configuring, Compiling, and Debugging TypeScript Projects",Ready to Start,,Daniel Stern,,Pluralsight,"August 17, 2021",https://app.pluralsight.com/library/courses/typescript-configuring-compiling-debugging-projects/table-of-contents,"TypeScript is a powerful tool that adds organization, clarity, and collaborative potential to web applications. Here you'll learn to install, configure, and debug TypeScript, as well as how to configure the compiler and use Type Declaration files.",,5
TypeScript Pluralsight Playlist,Creating Asynchronous TypeScript Code,Ready to Start,,John Papa,,Pluralsight,"December 15, 2019",https://app.pluralsight.com/library/courses/typescript-asynchronous-code/table-of-contents,"This course gently teaches you how to identify when to write asynchronous code, how to pass callback functions as parameters to functions, how to create and resolve/reject promises, and create and handle asynchronous functions with async/await.",,4
Technical Book,Competitive Programmer’s Handbook,Ready to Start,,,,,,,,,
C# Playlist O'Reilly,Chapter 4. C# 4: Improving interoperability,Ready to Start,,,,O'Reilly Media,,https://learning.oreilly.com/library/view/c-in-depth/9781617294532/OEBPS/Text/kindle_split_019_split_000.html,,,16
Technical Book,Extreme Programming Explained,Reading,,Kent Beck,,Addison-Wesley,,,,,
Technical Book,Computer Science Principles,Reading,,Kevin Hare,,,,,,,
TypeScript Pluralsight Playlist,TypeScript: Getting Started,Finished,⭐️⭐️⭐️,Brice Wilson,"July 14, 2021",Pluralsight,"March 16, 2021",https://app.pluralsight.com/library/courses/getting-started-typescript/table-of-contents,"TypeScript is a powerful, fun, and popular programming language used for building browser and NodeJS applications. This course will teach you all of the most important features of TypeScript, and quickly make you productive with the language.",,2
Nonfiction Book,Deep Work,Finished,⭐️⭐️⭐️,,"September 1, 2021",,,,,,
Nonfiction Book,Endure,Finished,⭐️⭐️⭐️,,"September 15, 2021",,,,,,
